parent_category,name,link
Food & Grocery,Grocery &amp; Gourmet Food,/gp/browse.html?node=16310101&ref_=nav_em__gro_0_2_22_2
Food & Grocery,Amazon Fresh,/alm/storefront?almBrandId=QW1hem9uIEZyZXNo&ref_=nav_em_fresh_0_2_22_3
Food & Grocery,Whole Foods Market,/alm/storefront?almBrandId=VUZHIFdob2xlIEZvb2Rz&ref_=nav_em_wholefoods_0_2_22_4
Food & Grocery,Whole Foods Market Catering,/alm/storefront?almBrandId=aNHVc2Akvg&ref_=nav_em_groc_wfmct_0_2_22_5
Food & Grocery,Subscribe &amp; Save,/gp/browse.html?node=5856181011&ref_=nav_em__subscribe_save_0_2_22_6
Food & Grocery,Pay with SNAP EBT,/gp/browse.html?node=19097785011&ref_=nav_em_omps_gno_dt_0_2_22_7
Beauty & Health,All Beauty,/gp/browse.html?node=3760911&ref_=nav_em__bty_0_2_23_2
Beauty & Health,Premium Beauty,/gp/browse.html?node=7175545011&ref_=nav_em__luxury_bty_0_2_23_3
Beauty & Health,Professional Skin Care,/gp/browse.html?node=14717647011&ref_=nav_em__pro_skin_0_2_23_4
Beauty & Health,Salon &amp; Spa,/gp/browse.html?node=14760453011&ref_=nav_em__salon_spa_0_2_23_5
Beauty & Health,Men’s Grooming,/gp/browse.html?node=6682399011&ref_=nav_em__men_grooming_0_2_23_6
Beauty & Health,"Health, Household &amp; Baby Care",/gp/browse.html?node=3760901&ref_=nav_em__health_household_baby_0_2_23_7
Beauty & Health,Vitamins &amp; Dietary Supplements,/gp/browse.html?node=3764441&ref_=nav_em__vds_0_2_23_8
Beauty & Health,Subscribe &amp; Save,/gp/browse.html?node=5856181011&ref_=nav_em__subscribe_save_0_2_23_10
Beauty & Health,Coupons,/gp/browse.html?node=2231352011&ref_=nav_em__coupons_0_2_23_11
Beauty & Health,Amazon Elements,/gp/browse.html?node=8514636011&ref_=nav_em__elements_0_2_23_12
Beauty & Health,"All Household, Health &amp; Baby Care",/gp/browse.html?node=3760901&ref_=nav_em__H_HH_T2_0_2_23_14
Beauty & Health,Household Supplies,/gp/browse.html?node=15342811&ref_=nav_em__HH_T2_0_2_23_16
Beauty & Health,Health Care,/gp/browse.html?node=3760941&ref_=nav_em__HC_T2_0_2_23_17
Beauty & Health,Sports Nutrition,/gp/browse.html?node=6973663011&ref_=nav_em__SN_T2_0_2_23_18
Beauty & Health,Baby &amp; Child Care,/gp/browse.html?node=10787321&ref_=nav_em__BC_T2_0_2_23_19
Beauty & Health,Medical Supplies &amp; Equipment,/gp/browse.html?node=3775161&ref_=nav_em__MSE_T2_0_2_23_20
Beauty & Health,Health &amp; Wellness,/gp/browse.html?node=10079996011&ref_=nav_em__HW_T2_0_2_23_21
"Toys, Kids & Baby",Toys &amp; Games,/gp/browse.html?node=165793011&ref_=nav_em__tg_0_2_24_2
"Toys, Kids & Baby",Baby,/gp/browse.html?node=165796011&ref_=nav_em__ba_0_2_24_3
"Toys, Kids & Baby",Diapering,/gp/browse.html?node=166764011&ref_=nav_em__baby_diapers_0_2_24_4
"Toys, Kids & Baby",Registry &amp; Gift List,/registries?ref_=nav_em_ham_toys_baby_registry_giftlist_0_2_24_5
"Toys, Kids & Baby",Video Games for Kids,/gp/browse.html?node=471306&ref_=nav_em__cvg_0_2_24_6
"Toys, Kids & Baby",Amazon Teen,/cr/forteens?ref_=nav_em_TDEP_0_2_24_7
"Toys, Kids & Baby",Amazon Elements,/gp/browse.html?node=8514636011&ref_=nav_em__elements_baby_0_2_24_8
